modulation,snr_db_in,trial,symbol_index,phase_mod_stride,in_mse,in_hinge,in_both,also_wrong_in_noproc,noise_mag_at_error,typical_noise_mag
QPSK,10,3,6071,55,True,True,True,True,0.7904089569494355,0.2642252534279714
QPSK,10,3,189,61,False,True,False,False,0.7067192590427978,0.2642252534279714
QPSK,10,3,10176,0,True,True,True,True,0.8915584490700861,0.2642252534279714
QPSK,10,3,14274,2,False,True,False,False,0.706028551677893,0.2642252534279714
QPSK,10,3,4307,19,True,False,False,True,0.7106578337672109,0.2642252534279714
QPSK,10,3,22231,23,True,False,False,False,0.7627297655172847,0.2642252534279714
QPSK,10,3,12248,24,True,True,True,True,0.882773288169958,0.2642252534279714
QPSK,10,3,15327,31,True,True,True,True,0.7389377343599097,0.2642252534279714
QPSK,10,3,3553,33,True,True,True,False,0.6626596873594821,0.2642252534279714
QPSK,10,3,23779,35,False,True,False,True,0.7456918235042008,0.2642252534279714
QPSK,10,3,8421,37,True,True,True,True,0.95681786840489,0.2642252534279714
QPSK,10,3,23269,37,True,False,False,False,0.7480630674537782,0.2642252534279714
QPSK,10,3,17895,39,True,False,False,False,0.7386228034147606,0.2642252534279714
QPSK,10,3,7142,38,False,True,False,False,0.7353077517509313,0.2642252534279714
QPSK,10,3,19686,38,False,True,False,False,0.7956687449841361,0.2642252534279714
QPSK,10,3,8685,45,True,False,False,False,0.632890929528387,0.2642252534279714
QPSK,10,3,15854,46,True,False,False,False,0.7197890135940277,0.2642252534279714
QPSK,10,3,21745,49,True,True,True,True,0.8046056103397757,0.2642252534279714
QPSK,10,3,19190,54,False,True,False,False,0.7130094171798044,0.2642252534279714
QPSK,10,3,8695,55,True,True,True,True,0.8129636101273171,0.2642252534279714
QPSK,10,3,7416,56,True,False,False,False,0.7242439960046424,0.2642252534279714
QPSK,10,3,13053,61,True,False,False,False,0.8109496617739118,0.2642252534279714
QPSK,10,3,21758,62,False,True,False,False,0.6723792684165559,0.2642252534279714
