modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
BPSK,random_walk,2,-5,NLMS-DD,-0.3945473692557735,0.4976,12440,25000
BPSK,random_walk,2,0,No Processing,0.0952734885911565,0.10004,2501,25000
BPSK,random_walk,2,0,LMS-Frozen,1.4126540452356924,0.12964,3241,25000
BPSK,random_walk,2,0,LMS-DD,-0.6162337704835668,0.47688,11922,25000
BPSK,random_walk,2,0,NLMS-Frozen,1.4178613948972347,0.13168,3292,25000
BPSK,random_walk,2,0,NLMS-DD,-0.6436317016404001,0.4884,12210,25000
BPSK,random_walk,2,5,No Processing,5.179158130758571,0.01476,369,25000
BPSK,random_walk,2,5,LMS-Frozen,2.4711662675907924,0.02564,641,25000
BPSK,random_walk,2,5,LMS-DD,-0.7796166989581166,0.49,12250,25000
BPSK,random_walk,2,5,NLMS-Frozen,2.4291514465779525,0.02624,656,25000
BPSK,random_walk,2,5,NLMS-DD,-0.7641075179721711,0.48452,12113,25000
BPSK,random_walk,2,10,No Processing,10.098898799971792,0.00032,8,25000
BPSK,random_walk,2,10,LMS-Frozen,3.3679771936405882,0.00104,26,25000
BPSK,random_walk,2,10,LMS-DD,-0.7981215352605393,0.48316,12079,25000
BPSK,random_walk,2,10,NLMS-Frozen,3.310244480496225,0.00128,32,25000
BPSK,random_walk,2,10,NLMS-DD,-0.810861268878943,0.47632,11908,25000
BPSK,random_walk,2,15,No Processing,15.11302323839317,0.0,0,25000
BPSK,random_walk,2,15,LMS-Frozen,4.409377480381734,4e-05,1,25000
BPSK,random_walk,2,15,LMS-DD,-0.8826550181400062,0.4878,12195,25000
BPSK,random_walk,2,15,NLMS-Frozen,4.341691866335256,4e-05,1,25000
BPSK,random_walk,2,15,NLMS-DD,-0.8803519561471628,0.48404,12101,25000
BPSK,random_walk,3,-5,No Processing,-4.97237481959297,0.26152,6538,25000
BPSK,random_walk,3,-5,LMS-Frozen,0.5115046006326817,0.28064,7016,25000
BPSK,random_walk,3,-5,LMS-DD,-0.4413862181347339,0.49616,12404,25000
BPSK,random_walk,3,-5,NLMS-Frozen,0.5113066170314589,0.28072,7018,25000
BPSK,random_walk,3,-5,NLMS-DD,-0.46129107722757995,0.5002,12505,25000
BPSK,random_walk,3,0,No Processing,-0.047847328029652025,0.14,3500,25000
BPSK,random_walk,3,0,LMS-Frozen,1.0697767059018197,0.15748,3937,25000
BPSK,random_walk,3,0,LMS-DD,-0.5952654478355317,0.48072,12018,25000
BPSK,random_walk,3,0,NLMS-Frozen,1.0787270382298515,0.15908,3977,25000
BPSK,random_walk,3,0,NLMS-DD,-0.7049417546236194,0.49584,12396,25000
BPSK,random_walk,3,5,No Processing,5.042672209583556,0.04444,1111,25000
BPSK,random_walk,3,5,LMS-Frozen,2.3413839015889883,0.0516,1290,25000
BPSK,random_walk,3,5,LMS-DD,-0.7827946322958462,0.48284,12071,25000
BPSK,random_walk,3,5,NLMS-Frozen,2.2973041429475964,0.05656,1414,25000
BPSK,random_walk,3,5,NLMS-DD,-0.8045761512390815,0.48536,12134,25000
BPSK,random_walk,3,10,No Processing,10.037666738198034,0.0126,315,25000
BPSK,random_walk,3,10,LMS-Frozen,3.6342370265576625,0.004,100,25000
BPSK,random_walk,3,10,LMS-DD,-0.7944997326186177,0.47604,11901,25000
BPSK,random_walk,3,10,NLMS-Frozen,3.3880776024630244,0.0058,145,25000
BPSK,random_walk,3,10,NLMS-DD,-0.7900471814902505,0.47476,11869,25000
BPSK,random_walk,3,15,No Processing,15.028779497190905,0.00624,156,25000
BPSK,random_walk,3,15,LMS-Frozen,4.555808152056508,4e-05,1,25000
BPSK,random_walk,3,15,LMS-DD,-0.8896320687874248,0.48036,12009,25000
BPSK,random_walk,3,15,NLMS-Frozen,4.140288800650802,0.00012,3,25000
